pv_capacity_MW;status;depenses_energie;depenses_solaire;depenses_stockage;total_depenses;revenu_sp;bilan
0,0;ok;4043388,73775;0,0;350739,32138;4394128,05913;6263196,432435795;1869068,3733057948
0,5;ok;4043348,4261299996;7099,4759699999995;350697,0855;4401144,9876;6263196,432435795;1862051,444835795
1,0;ok;4042861,4003799995;14198,95193;350649,58895;4407709,94126;6263196,432435795;1855486,491175795
1,5;ok;4041865,44754;21298,4279;350605,94419;4413769,81963;6263196,432435795;1849426,612805795
2,0;ok;4040504,53244;28397,90386;350577,77509;4419480,21139;6263196,432435795;1843716,221045795
2,5;ok;4037747,78962;35497,37983;350566,18237;4423811,3518199995;6263196,432435795;1839385,0806157952
3,0;ok;4035746,07302;42596,85579;350580,52445;4428923,45326;6263196,432435795;1834272,9791757949
3,5;ok;4030460,11375;49696,32933;350628,1655;4430784,60858;6263196,432435795;1832411,823855795
4,0;ok;4023381,30948;56795,70778;350740,269;4430917,2862599995;6263196,432435795;1832279,1461757952
4,5;ok;4008615,47965;63894,96656;350909,69525;4423420,141460001;6263196,432435795;1839776,2909757942
5,0;ok;3998542,48553;70994,04944999999;351085,64235;4420622,17733;6263196,432435795;1842574,2551057944
5,5;ok;3986887,39952;78092,99721;351278,48386;4416258,88059;6263196,432435795;1846937,5518457945
6,0;ok;3978195,10037;85191,90308;351494,727;4414881,730450001;6263196,432435795;1848314,7019857941
6,5;ok;3969231,39;92290,70253;351706,01156;4413228,10409;6263196,432435795;1849968,3283457952
7,0;ok;3949484,61425;99389,40105999999;351917,16113;4400791,1764400005;6263196,432435795;1862405,2559957942
7,5;ok;3943342,3107700003;106487,98156999999;352130,04132;4401960,33366;6263196,432435795;1861236,0987757947
8,0;ok;3928622,96629;113586,45718;352328,75343;4394538,176899999;6263196,432435795;1868658,2555357954
8,5;ok;3913523,9809100004;120684,81665;352507,35515;4386716,15271;6263196,432435795;1876480,2797257947
9,0;ok;3903553,4512899998;127783,07192999999;352672,85908;4384009,3823;6263196,432435795;1879187,050135795
9,5;ok;3896364,30319;134881,2721;352839,00994;4384084,58523;6263196,432435795;1879111,8472057944
10,0;ok;3888284,41085;141979,42512;353003,27658;4383267,11255;6263196,432435795;1879929,319885795
10,5;ok;3878802,08703;149077,50762;353153,75959;4381033,35424;6263196,432435795;1882163,0781957945
11,0;ok;3868353,95622;156175,55351;353304,16357;4377833,6733;6263196,432435795;1885362,7591357948
11,5;ok;3847721,46637;163273,47876;353429,96377;4364424,9089;6263196,432435795;1898771,5235357946
12,0;ok;3837659,16972;170371,32353;353537,48733;4361567,98058;6263196,432435795;1901628,4518557945
12,5;ok;3827497,66408;177469,11099;353635,35099;4358602,12606;6263196,432435795;1904594,306375795
13,0;ok;3821011,1569299996;184566,85142;353725,66612;4359303,67447;6263196,432435795;1903892,7579657948
13,5;ok;3812574,83254;191664,5791;353819,41067;4358058,82231;6263196,432435795;1905137,610125795
14,0;ok;3809540,61725;198762,28482;353914,14842;4362217,05049;6263196,432435795;1900979,3819457944
14,5;ok;3801458,2720600003;205859,97785999998;354014,48925;4361332,73917;6263196,432435795;1901863,6932657948
15,0;ok;3796000,75181;212957,65519;354115,31085999997;4363073,717859999;6263196,432435795;1900122,7145757955
